    "STOPID","PLANVERSIONID","SHORTNAME","LONGNAME","GPS_X","GPS_Y","DECIMALLONGITUDE","DECIMALLATITUDE","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
514110,241,K7CC70,Kr 7C entre Cl 70 y 72A,-762858554,32748096,-76.48293167,3.46336,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514111,241,C112K24,Cl 112 entre Kr 24 y 23,-762754366,32545660,-76.46510167,3.42935,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514112,241,K7CC72A,Kr 7C entre Cl 72A y 73,-762850178,32750934,-76.480605,3.46414833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514113,241,C73K7C,Cl 73 entre Kr 7C y 7ABis,-762846062,32756190,-76.47946167,3.46560833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514114,241,C34K7,Cl 34 entre Kr 7 y 8,-763044004,32718534,-76.51222333,3.45514833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514115,241,K8C34,Kr 8 entre Cl 34 y 26,-763055523,32713245,-76.51542306,3.45367917,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514116,241,K8C27,Kr 8 entre Cl 27 y 26,-763101642,32711983,-76.51712278,3.45332861,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514119,241,K8C391,Kr 8 entre Cl 44 y 36,-763025992,32713452,-76.50722,3.45373667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514120,241,K8C392,Kr 8 entre Cl 39 y 41,-763025638,32712480,-76.50712167,3.45346667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514121,241,K8C44,Kr 8 con Cl 44,-763011927,32711454,-76.50331306,3.45318167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514122,241,C112K25,Cl 112 entre Kr 25 y 26 Parqueadero,-762801187,32540346,-76.46699639,3.42787389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514123,241,C112K26A,Cl 112 entre Kr 26A y 26A1,-762806786,32536278,-76.46855167,3.42674389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514124,241,C112K26B,Cl 112 entre Kr 26B3 y 26C,-762809880,32531002,-76.46941111,3.42527833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514125,241,K8C51,Kr 8 con Cl 51,-762958532,32710214,-76.49959222,3.45283722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514126,241,K8C492,Kr 8 entre Cl 49 y 50,-763001488,32709570,-76.50041333,3.45265833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514128,241,K8C522,Kr 8 entre Cl 52 y 53A,-762952006,32708932,-76.49777944,3.45248111,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514129,241,K8C561,Kr 8 con Cl 56,-762944202,32709390,-76.49561167,3.45260833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514130,241,K8C562,Kr 8 entre Cl 54 y 56,-762945114,32708592,-76.495865,3.45238667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514131,241,K8C59,Kr 8 con Cl 59,-762933084,32710038,-76.49252333,3.45278833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514132,241,K8C582,Kr 8 entre Cl 58 y 59,-762935400,32709114,-76.49316667,3.45253167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514133,241,K8C62,Kr 8 entre Cl 62 y 61,-762923082,32709825,-76.489745,3.45272917,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
