========================================
REPORTE COMPLETO SISTEMA SITM-MIO
========================================

Estadísticas Generales:
  Total de Nodos: 2119
  Total de Arcos: 3974
  Total de Rutas: 181
  Velocidad Promedio General: 16,33 km/h

Resumen por Rutas:
------------------------------------------------------------
Ruta: A04-1 | Arcos: 13 | Distancia: 3,07 km | Tiempo: 11,96 min | Velocidad: 15,40 km/h
Ruta: A01A-1 | Arcos: 11 | Distancia: 4,39 km | Tiempo: 14,89 min | Velocidad: 17,20 km/h
Ruta: P47B-0 | Arcos: 33 | Distancia: 11,76 km | Tiempo: 46,37 min | Velocidad: 14,91 km/h
Ruta: P24B-1 | Arcos: 31 | Distancia: 10,42 km | Tiempo: 43,13 min | Velocidad: 14,39 km/h
Ruta: P47B-1 | Arcos: 26 | Distancia: 9,82 km | Tiempo: 37,86 min | Velocidad: 15,15 km/h
Ruta: T40-0 | Arcos: 12 | Distancia: 6,31 km | Tiempo: 14,26 min | Velocidad: 25,50 km/h
Ruta: T40-1 | Arcos: 11 | Distancia: 6,33 km | Tiempo: 13,43 min | Velocidad: 27,55 km/h
Ruta: P71-0 | Arcos: 18 | Distancia: 6,38 km | Tiempo: 25,08 min | Velocidad: 15,00 km/h
Ruta: A23-1 | Arcos: 11 | Distancia: 2,23 km | Tiempo: 8,67 min | Velocidad: 15,40 km/h
Ruta: R52-1 | Arcos: 10 | Distancia: 0,32 km | Tiempo: 1,09 min | Velocidad: 17,50 km/h
Ruta: P24B-0 | Arcos: 40 | Distancia: 13,27 km | Tiempo: 54,05 min | Velocidad: 14,60 km/h
Ruta: P71-1 | Arcos: 39 | Distancia: 11,22 km | Tiempo: 46,00 min | Velocidad: 14,46 km/h
Ruta: A13B-1 | Arcos: 20 | Distancia: 4,93 km | Tiempo: 19,22 min | Velocidad: 15,40 km/h
Ruta: P12A-1 | Arcos: 87 | Distancia: 25,73 km | Tiempo: 105,41 min | Velocidad: 14,34 km/h
